	state	population	party
1	CA	39613500	DEM
2	TX	29730300	REP
3	FL	21944600	REP
4	NY	19300000	DEM
5	PA	12804100	DEM
6	IL	12569300	DEM
7	OH	11714600	REP
8	GA	10830000	DEM
9	NC	10701000	REP
10	MI	9992430		DEM
11	NJ	8874520		DEM
12	VA	8603980		DEM
13	WA	7796940		DEM
14	AZ	7520100		DEM
15	TN	6944260		REP
16	MA	6912240		DEM
17	IN	6805660		REP
18	MO	6169040		REP
19	MD	6065440		DEM
20	CO	5893630		DEM
21	WI	5852490		DEM
22	MN	5706400		DEM
23	SC	5277830		REP
24	AL	4934190		REP
25	LA	4627000		REP
26	KY	4480710		REP
27	OR	4289440		DEM
28	OK	3990440		REP
29	CT	3552820		DEM
30	UT	3310770		REP
32	NV	3185790		DEM
33	IA	3167970		REP
34	AR	3033950		REP
35	MS	2966410		REP
36	KS	2917220		REP
37	NM	2105000		DEM
38	NE	1952000		REP
39	ID	1860120		REP
40	WV	1767860		REP
41	HI	1406430		DEM
42	NH	1372200		DEM
43	ME	1354520		DEM
44	MT	1085000		REP
45	RI	1061510		DEM
46	DE	990334		DEM
47	SD	896581		REP
48	ND	770026		REP
49	AK	724357		REP
50	DC	714153		DEM
51	VT	623251		DEM
52	WY	581075		REP
